segment,antecedent,consequent,antecedent_size,consequent_size,support_itemset,confidence,lift,count_itemset,n_transactions
ALL,143125,018093,1,1,0.006035458317615994,0.9600000000000001,110.65043478260871,48,7953
ALL,018093,143125,1,1,0.006035458317615994,0.6956521739130436,110.65043478260871,48,7953
ALL,018091|018094,018093,2,1,0.005406764742864328,0.9347826086956521,107.74385633270322,43,7953
ALL,018093,018091|018094,1,2,0.005406764742864328,0.6231884057971014,107.74385633270322,43,7953
ALL,143121,018091,1,1,0.00666415189236766,0.9636363636363636,100.83947368421053,53,7953
ALL,018091,143121,1,1,0.00666415189236766,0.6973684210526315,100.83947368421052,53,7953
ALL,018092|143122,018095,2,1,0.005406764742864328,1.0,100.67088607594937,43,7953
ALL,018095,018092|143122,1,2,0.005406764742864328,0.5443037974683544,100.67088607594937,43,7953
ALL,093002,091045,1,1,0.005029548598013328,0.6060606060606061,100.41666666666667,40,7953
ALL,091045,093002,1,1,0.005029548598013328,0.8333333333333333,100.41666666666666,40,7953
ALL,143122,143124,1,1,0.005783980887715328,0.7931034482758621,100.11986863711002,46,7953
ALL,143124,143122,1,1,0.005783980887715328,0.7301587301587301,100.11986863711002,46,7953
ALL,143122,018092|143124,1,2,0.005406764742864328,0.7413793103448276,99.93541788427821,43,7953
ALL,018092|143124,143122,2,1,0.005406764742864328,0.7288135593220338,99.9354178842782,43,7953
ALL,143121,143122,1,1,0.005029548598013328,0.7272727272727273,99.72413793103449,40,7953
ALL,143122,143121,1,1,0.005029548598013328,0.689655172413793,99.72413793103448,40,7953
ALL,018095|143122,143124,2,1,0.005406764742864328,0.7818181818181819,98.6952380952381,43,7953
ALL,143124,018095|143122,1,2,0.005406764742864328,0.6825396825396824,98.69523809523808,43,7953
ALL,143123,018094,1,1,0.0061611970325663274,0.9423076923076923,98.60754048582996,49,7953
ALL,018094,143123,1,1,0.0061611970325663274,0.6447368421052632,98.60754048582996,49,7953
ALL,143122,018092|018095,1,2,0.005406764742864328,0.7413793103448276,98.2698275862069,43,7953
ALL,018092|018095,143122,2,1,0.005406764742864328,0.7166666666666667,98.2698275862069,43,7953
ALL,018092|018093,018091,2,1,0.005532503457814661,0.9166666666666667,95.92434210526316,44,7953
ALL,018091,018092|018093,1,2,0.005532503457814661,0.5789473684210527,95.92434210526316,44,7953
ALL,143122,018095,1,1,0.006915629322268326,0.9482758620689655,95.4637712789175,55,7953
ALL,018095,143122,1,1,0.006915629322268326,0.6962025316455697,95.4637712789175,55,7953
ALL,018092,018095|143124,1,2,0.005406764742864328,0.511904761904762,94.67857142857144,43,7953
ALL,018095|143124,018092,2,1,0.005406764742864328,1.0,94.67857142857143,43,7953
ALL,143122|143124,018095,2,1,0.005406764742864328,0.9347826086956521,94.10539350577875,43,7953
ALL,018095,143122|143124,1,2,0.005406764742864328,0.5443037974683544,94.10539350577875,43,7953
ALL,018091|018093,018094,2,1,0.005406764742864328,0.8958333333333334,93.74424342105263,43,7953
ALL,018092|018093,018094,2,1,0.005406764742864328,0.8958333333333334,93.74424342105263,43,7953
ALL,018094,018091|018093,1,2,0.005406764742864328,0.5657894736842105,93.74424342105263,43,7953
ALL,018094,018092|018093,1,2,0.005406764742864328,0.5657894736842105,93.74424342105263,43,7953
ALL,018092|018094,018093,2,1,0.005406764742864328,0.8113207547169812,93.5135356849877,43,7953
ALL,018093,018092|018094,1,2,0.005406764742864328,0.6231884057971014,93.5135356849877,43,7953
ALL,018092|018095,143124,2,1,0.005406764742864328,0.7166666666666667,90.47063492063491,43,7953
ALL,143124,018092|018095,1,2,0.005406764742864328,0.6825396825396824,90.47063492063491,43,7953
ALL,018092,143124,1,1,0.0074185841820696595,0.7023809523809524,88.66723356009071,59,7953
ALL,143124,018092,1,1,0.0074185841820696595,0.9365079365079364,88.6672335600907,59,7953
ALL,018092,018091|018094,1,2,0.005406764742864328,0.511904761904762,88.50388198757766,43,7953
ALL,018092,143122|143124,1,2,0.005406764742864328,0.511904761904762,88.50388198757766,43,7953
ALL,018091|018094,018092,2,1,0.005406764742864328,0.9347826086956521,88.50388198757764,43,7953
ALL,143122|143124,018092,2,1,0.005406764742864328,0.9347826086956521,88.50388198757764,43,7953
