segment,sku,sku_name,transaction_count,ubicacion_mode,n_transactions,support,cluster_id,cluster_size,cluster_transaction_count
ALL,022014,MESA PLÁSTICO/METAL ROJA TERRAZA MAHOU,30,016-143-40,7953,0.003772161448509996,7,6559,40210
ALL,022027,MESA GRIS 2018 ALHAMBRA PATA BLANCA,30,021-074-10,7953,0.003772161448509996,7,6559,40210
ALL,032004,TABURETE METAL ALTO NEGRO,30,016-037-10,7953,0.003772161448509996,7,6559,40210
ALL,051003,LUMINOSO RECTANGULAR ALHAMBRA (EPHIMERA),30,014-015-09,7953,0.003772161448509996,7,6559,40210
ALL,052000,GUIRNALDAS CABLE NEGRO,30,012-095-09,7953,0.003772161448509996,7,6559,40210
ALL,063007,COPA 30CL LOGO NEGRO LAS NUMERADAS ALH,30,014-119-40,7953,0.003772161448509996,7,6559,40210
ALL,091175,BARRA MAHOU LOGO 2024 NEGRA ROJA MADERA,30,012-049-10,7953,0.003772161448509996,7,6559,40210
ALL,126003,POSAVASO CUADRADO DESDE 1890 MAHOU,30,014-056-09,7953,0.003772161448509996,7,6559,40210
ALL,204096,BASE DE SOMBRILLA CON RUEDAS NEGRA EZPEL,30,015-083-00,7953,0.003772161448509996,7,6559,40210
ALL,013073,CERVEZA 33CL TROPICAL LA PROHIBIDA,29,015-147-30,7953,0.003646422733559663,7,6559,40210
ALL,014042,CERVEZA 33CL MAHOU SIN GLUTEN (1813) 202,29,015-024-20,7953,0.003646422733559663,7,6559,40210
ALL,018101,AGUA BOT CRISTAL 1L CAJA PLÁSTICO SOLAN,29,015-060-30,7953,0.003646422733559663,7,6559,40210
ALL,061004,COPA  BALON 33CL MAESTRA DUNKEL MAHOU,29,014-054-09,7953,0.003646422733559663,7,6559,40210
ALL,075014,VASO CARTON 33-42CL RECICABLE MAHOU,29,020-073-10,7953,0.003646422733559663,7,6559,40210
ALL,092018,BARRA  2.5MT C/LED MEGABRAND LOGO MAHOU,29,014-047-00,7953,0.003646422733559663,7,6559,40210
ALL,202069,SOMBRILLA NEGRA LOGO BRUTUS,29,019-107-00,7953,0.003646422733559663,7,6559,40210
